 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

11,-135,0,7.8066e-05,685.51,10508,-131.79,0.00083577,-1.4347
12,-135,0,0.00011051,697.37,10582,-136.48,0.00099298,-1.225
13,-135,0,0.00015644,711.49,10799,-115.29,0.0010387,-0.92348
14,-135,0,0.00022146,727.48,10675,-136.33,0.0010067,-0.64645
15,-135,0,0.0003135,744.08,10614,-129.29,0.00083727,-0.38849
16,-135,0,0.00044379,760.68,10423,-146.74,0.00051448,-0.17239
17,-135,0,0.00062823,776.63,10213,-150.18,-9.0487e-05,0.021868
18,-135,0,0.00088933,791.49,10006,-152.87,-0.0011244,0.19562
19,-135,0,0.0012589,805.42,9820.4,-146.95,-0.0028091,0.35132
20,-135,0,0.0017822,820.61,9614.5,-157.93,-0.0057269,0.5155
21,-135,0,0.0025229,837.82,9506.5,-147.33,-0.010169,0.66015
22,-135,0,0.0035714,855.59,9437.4,-151.01,-0.017409,0.81531
23,-135,0,0.0050557,873.48,9485.3,-148.05,-0.028427,0.96011
24,-135,0,0.0071569,891.93,9563.4,-149.22,-0.044541,1.0851
25,-135,0,0.010131,911.97,9735.5,-138.52,-0.065867,1.159
26,-135,0,0.014342,935.04,9905,-133.07,-0.093726,1.1945
27,-135,0,0.020303,962.5,10021,-122.49,-0.12649,1.1723
28,-135,0,0.028741,994.52,10102,-114.78,-0.16331,1.1047
29,-135,0,0.040686,1032.2,10129,-107,-0.20258,1.0047
30,-135,0,0.057595,1076.9,10111,-94.366,-0.23941,0.87512
31,-135,0,0.081532,1126.7,10047,-80.831,-0.26862,0.72566
32,-135,0,0.11542,1181.3,9938.7,-66.152,-0.27892,0.55809
33,-135,0,0.16339,1243.2,9794.4,-54.568,-0.25654,0.38158
34,-135,0,0.23129,1315.1,9623.7,-42.572,-0.18093,0.20111
35,-135,0,0.32742,1396.7,9420.1,-33.121,-0.024886,0.020753
36,-135,0,0.4635,1486.1,9160,-24.48,0.22779,-0.14278
37,-135,0,0.65613,1582.7,8848.1,-17.567,0.6086,-0.28698
38,-135,0,0.92882,1689.5,8504.8,-10.762,1.1992,-0.42643
39,-135,0,1.3148,1809.7,8143.1,-4.3361,2.1683,-0.5834
40,-135,0,1.8613,1949.7,7780.2,0.27106,3.8098,-0.78013
41,-135,0,2.6349,2106.1,7426.9,1.3536,6.5799,-1.0282
42,-135,0,3.73,2257.2,7071.9,-6.347,10.671,-1.2624
43,-135,0,5.2802,2387.3,6676.5,-20.082,14.613,-1.2916
44,-135,0,7.4747,2486.5,6201.4,-31.433,15.93,-1.0359
45,-135,0,10.581,2569.3,5538.3,-33.983,12.512,-0.59391
46,-135,0,14.979,2655.4,4751.1,-28.244,5.8111,-0.20138
47,-135,0,21.204,2751.4,4021.7,-20.084,-4.6159,0.11709
48,-135,0,30.017,2830.7,3355.2,-8.2785,-17.605,0.32455
49,-135,0,42.492,2842,2602.2,-1.0518,-14.781,0.19326
50,-135,0,60.152,2814.5,1660,-14.914,6.1945,-0.056661
51,-135,0,85.152,2768.2,607.5,11.188,-1.8066,0.011481
52,-135,0,120.54,2759,-348.71,-17.551,-9.326,0.041729
53,-135,0,170.64,2960.7,-636.32,10.138,-0.27874,0.00094546
 
1,-135,45,2.4156e-06,729.79,-15249,1420.1,4.7039e-06,-0.27781
2,-135,45,3.4196e-06,736.28,-14923,1585.2,1.3378e-05,-0.56311
3,-135,45,4.8408e-06,734.61,-14547,1724.8,2.4619e-05,-0.73036
4,-135,45,6.8526e-06,735.46,-14145,1837.7,4.2935e-05,-0.90082
5,-135,45,9.7006e-06,737.26,-13837,1949.8,7.2512e-05,-1.0773
