 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

33,90,45,0.16339,1540.3,-946.49,-3679.1,4.5809,-8.4422
34,90,45,0.23129,1525.9,-1365.8,-3000.1,5.2659,-6.7917
35,90,45,0.32742,1514.2,-1299.5,-2173.1,5.0742,-4.5875
36,90,45,0.4635,1510.2,-899.45,-1445,3.9755,-2.5322
37,90,45,0.65613,1526.2,-453.33,-1069.1,3.5436,-1.6114
38,90,45,0.92882,1558,-321.22,-908.23,3.7914,-1.2432
39,90,45,1.3148,1606.7,-286,-749.83,4.9365,-1.1792
40,90,45,1.8613,1671.8,-312.59,-599.5,6.3147,-1.1088
41,90,45,2.6349,1757.3,-319.79,-506.51,7.262,-0.94681
42,90,45,3.73,1855.9,-335.59,-422.07,6.9968,-0.68057
43,90,45,5.2802,1964.1,-349.03,-310.33,6.0394,-0.43915
44,90,45,7.4747,2069.9,-336.24,-219.48,3.9779,-0.21535
45,90,45,10.581,2151.7,-316.04,-127.99,2.1375,-0.084972
46,90,45,14.979,2184.8,-303.34,-81.37,1.0048,-0.028651
47,90,45,21.204,2143.7,-303.81,-42.973,-0.26113,0.0051608
48,90,45,30.017,2043.6,-321.04,-13.739,-0.68353,0.0090974
49,90,45,42.492,2047.3,-332.54,4.2234,-0.76394,0.0071954
50,90,45,60.152,2199.1,-335.47,8.454,-0.25659,0.0018338
51,90,45,85.152,2418.7,-338.47,8.9787,0.63557,-0.0035291
52,90,45,120.54,2667.8,-340.8,8.3144,0.38245,-0.0016547
53,90,45,170.64,2944.3,-341.15,7.8748,1.1449,-0.0038618
 
1,135,0,2.4156e-06,869.75,10169,-539.58,4.3896e-06,-0.30897
2,135,0,3.4196e-06,890.38,9880.1,-568.65,8.0329e-06,-0.40888
3,135,0,4.8408e-06,897.56,9715.4,-488.42,2.07e-05,-0.75033
4,135,0,6.8526e-06,904.75,9700,-549.71,3.9778e-05,-1.0267
5,135,0,9.7006e-06,911.49,9612.6,-416.2,6.1797e-05,-1.1351
6,135,0,1.3732e-05,918.09,9632.4,-481.01,9.46e-05,-1.2364
7,135,0,1.944e-05,925.46,9597.5,-403.46,0.00013169,-1.2256
8,135,0,2.7519e-05,934.35,9570.3,-413.33,0.00019442,-1.2904
9,135,0,3.8956e-05,945.56,9619.5,-349.13,0.00026679,-1.2659
10,135,0,5.5146e-05,959.29,9565.3,-416.91,0.00035818,-1.218
11,135,0,7.8066e-05,976,9519.1,-302.65,0.00046406,-1.1342
12,135,0,0.00011051,996.81,9459.9,-367.34,0.0005755,-1.0148
13,135,0,0.00015644,1020.6,9387.6,-196.42,0.00063824,-0.81399
14,135,0,0.00022146,1047.5,9350.5,-338.47,0.00056894,-0.52607
15,135,0,0.0003135,1074.4,9200.7,-170.79,0.00028471,-0.19076
16,135,0,0.00044379,1101.5,9138.8,-280.48,-0.00071152,0.34524
17,135,0,0.00062823,1127.3,8975.4,-130.28,-0.0021217,0.74424
18,135,0,0.00088933,1152.7,8752.5,-242.48,-0.0045786,1.1601
19,135,0,0.0012589,1178.2,8572.1,2.1836,-0.0083658,1.5305
20,135,0,0.0017822,1202.8,8387.6,-215.93,-0.015278,2.0157
21,135,0,0.0025229,1227.8,8208.6,-57.157,-0.023662,2.2511
22,135,0,0.0035714,1253.8,8044.1,-174.35,-0.035214,2.4167
23,135,0,0.0050557,1280.2,8024.5,-79.048,-0.04868,2.4098
24,135,0,0.0071569,1308.2,7882.9,-71.816,-0.058378,2.086
25,135,0,0.010131,1338.5,7876.4,-58.165,-0.05857,1.5127
26,135,0,0.014342,1370.5,7778.1,-52.851,-0.046432,0.86735
27,135,0,0.020303,1409.7,7910.9,-70.5,-0.021244,0.28836
28,135,0,0.028741,1455.3,8050.1,-49.734,0.015098,-0.14945
29,135,0,0.040686,1508.1,8393.8,-34.004,0.076682,-0.55564
30,135,0,0.057595,1564.2,8721.7,-18.331,0.1685,-0.89461
31,135,0,0.081532,1620.8,9016.5,-2.644,0.30314,-1.1781
32,135,0,0.11542,1679.6,9196.2,19.334,0.47344,-1.3468
33,135,0,0.16339,1743.1,9270.6,33.143,0.6622,-1.3811
34,135,0,0.23129,1811.9,9240.7,42.818,0.81545,-1.2488
35,135,0,0.32742,1887,9152.5,45.357,0.80842,-0.9108
36,135,0,0.4635,1969.2,9009.6,43.133,0.44403,-0.36879
37,135,0,0.65613,2060.1,8806.7,38.962,-0.5355,0.32868
38,135,0,0.92882,2163.8,8560.9,32.946,-2.4056,1.0956
39,135,0,1.3148,2283.2,8290.1,27.167,-5.3961,1.8318
40,135,0,1.8613,2413.1,7996.9,23.59,-9.6718,2.4513
41,135,0,2.6349,2530,7697.7,24.585,-15.097,2.8339
42,135,0,3.73,2592.5,7415.3,25.673,-20.955,2.8473
43,135,0,5.2802,2584.6,7052.2,27.992,-25.989,2.4869
44,135,0,7.4747,2556.3,6464.8,30.66,-30.085,2.0114
45,135,0,10.581,2576.4,5627.6,29.553,-33.439,1.5916
46,135,0,14.979,2640.8,4710.2,22.546,-34.775,1.1985
47,135,0,21.204,2713.2,3892.2,17.095,-33.432,0.83626
48,135,0,30.017,2793.4,3226.3,20.641,-28.805,0.52404
49,135,0,42.492,2853.5,2594.7,34.222,-27.784,0.36474
50,135,0,60.152,2829.9,1717.6,37.073,-7.9698,0.073298
51,135,0,85.152,2754.4,374.22,-30.14,10.244,-0.064777
52,135,0,120.54,2771.7,-259.53,11.415,10.555,-0.047443
53,135,0,170.64,2961.2,-663.26,-3.091,0.22531,-0.00076436
 
1,135,45,2.4156e-06,711.47,-5773.9,-13893,5.2516e-05,-3.0237
2,135,45,3.4196e-06,744.37,-6257.7,-13176,0.00012033,-5.1205
3,135,45,4.8408e-06,755.77,-6625,-12721,0.00021112,-6.4436
4,135,45,6.8526e-06,763.35,-6919,-12342,0.00033283,-7.248
5,135,45,9.7006e-06,770.22,-7131.5,-12048,0.00050045,-7.7677
6,135,45,1.3732e-05,775.68,-7357.4,-11719,0.0007293,-8.0531
7,135,45,1.944e-05,780.73,-7548.7,-11421,0.0010392,-8.1587
8,135,45,2.7519e-05,785.18,-7772.3,-11115,0.0014577,-8.1309
9,135,45,3.8956e-05,790.05,-7946.7,-10753,0.0020319,-8.0558
10,135,45,5.5146e-05,795.81,-8171.9,-10418,0.002821,-7.9582
11,135,45,7.8066e-05,803.88,-8354.4,-9977.1,0.0039728,-7.9974
12,135,45,0.00011051,814.36,-8605.7,-9623.1,0.0055822,-8.0416
13,135,45,0.00015644,827.98,-8765.7,-9016.9,0.0080314,-8.3098
14,135,45,0.00022146,843.86,-9052.2,-8520.3,0.011777,-8.7728
15,135,45,0.0003135,860.21,-9116,-7612,0.017249,-9.2526
16,135,45,0.00044379,875.31,-9236.4,-6912.5,0.025451,-9.8131
17,135,45,0.00062823,884.36,-8998.2,-5744.1,0.035666,-9.815
18,135,45,0.00088933,883.46,-8494.8,-4585.7,0.049023,-9.5202
19,135,45,0.0012589,868.64,-7659.2,-3332.2,0.062495,-8.4295
20,135,45,0.0017822,837.38,-6288.9,-2076.9,0.069659,-6.3984
21,135,45,0.0025229,795.07,-4702.1,-1024.7,0.063904,-3.937
22,135,45,0.0035714,749.71,-3066.2,-332.7,0.042077,-1.7267
23,135,45,0.0050557,709.95,-1673.5,-26.808,0.015686,-0.43061
24,135,45,0.0071569,681.14,-683.22,7.6171,-0.00057923,0.010777
25,135,45,0.010131,670.75,-246.63,-105.14,-0.0039498,0.05112
26,135,45,0.014342,677.52,-150.74,-224.22,0.0028545,-0.026361
27,135,45,0.020303,695.36,-174.65,-299.97,0.0214,-0.14328
28,135,45,0.028741,720.86,-255.2,-316.23,0.043407,-0.21283
29,135,45,0.040686,751.31,-257.46,-330.77,0.077062,-0.27819
30,135,45,0.057595,784.92,-300.85,-324.52,0.12364,-0.32939
31,135,45,0.081532,823.43,-247.45,-266.45,0.13075,-0.25815
32,135,45,0.11542,867.47,-200.36,-292.19,0.14988,-0.22022
33,135,45,0.16339,917.62,-207.62,-278.9,0.17884,-0.19635
34,135,45,0.23129,973.92,-207.44,-280.62,0.22905,-0.18855
35,135,45,0.32742,1037.1,-217.11,-289.1,0.29736,-0.18414
36,135,45,0.4635,1106.1,-244.3,-283.11,0.40181,-0.18746
37,135,45,0.65613,1180.5,-231.12,-283.03,0.56268,-0.1979
38,135,45,0.92882,1258.8,-231.58,-276.76,0.63587,-0.16847
39,135,45,1.3148,1340.5,-228.77,-291.17,0.95671,-0.19068
40,135,45,1.8613,1428.3,-230.65,-295.73,1.2942,-0.19414
41,135,45,2.6349,1523,-231.54,-288.36,1.9274,-0.21779
42,135,45,3.73,1624.6,-216.21,-267.99,2.5395,-0.21622
43,135,45,5.2802,1735.3,-205.79,-246.44,2.8763,-0.1848
44,135,45,7.4747,1847.5,-202.07,-208.74,2.9321,-0.14168
45,135,45,10.581,1937.5,-217.25,-158.24,3.3283,-0.11914
46,135,45,14.979,1980.9,-246.68,-103.8,3.1524,-0.081498
47,135,45,21.204,1969.8,-290.35,-49.219,2.4557,-0.044597
48,135,45,30.017,1951.3,-321.57,-12.267,2.0481,-0.026028
49,135,45,42.492,2020.8,-336.77,2.6969,2.065,-0.019198
50,135,45,60.152,2196.6,-340.78,6.5005,1.8575,-0.01326
51,135,45,85.152,2419,-344.09,7.3399,1.6044,-0.0089098
52,135,45,120.54,2668.6,-342.76,7.9926,1.1786,-0.0051007
53,135,45,170.64,2945,-341.7,8.4189,0.89058,-0.0030047
 
